file,species,temperature,nutrients,sample_ID,date,mean.dens.ml,day
20230822_00001,Tetrahymena,18,2,T6,2023-08-22,148.427184,1
20230822_00002,Colpidium,18,4,C10,2023-08-22,119.265168,1
20230822_00003,Loxocephalus,18,4,L10,2023-08-22,180.767112,1
20230822_00004,Loxocephalus,18,1,L3,2023-08-22,273.487368,1
20230822_00005,Tetrahymena,18,5,T13,2023-08-22,23.367,1
20230822_00006,Colpidium,18,2,C6,2023-08-22,164.316744,1
20230822_00007,Colpidium,18,5,C15,2023-08-22,186.188256,1
20230822_00008,Tetrahymena,18,2,T4,2023-08-22,23.367,1
20230822_00009,Loxocephalus,18,4,L12,2023-08-22,111.974664,1
20230822_00010,Colpidium,18,1,C2,2023-08-22,136.089408,1
20230822_00011,Colpidium,18,4,C11,2023-08-22,281.899488,1
20230822_00012,Tetrahymena,18,5,T15,2023-08-22,69.914064,1
20230822_00013,Tetrahymena,18,1,T3,2023-08-22,93.468,1
20230822_00014,Colpidium,18,5,C14,2023-08-22,66.175344,1
20230822_00015,Colpidium,18,3,C7,2023-08-22,235.352424,1
20230822_00016,Tetrahymena,18,3,T7,2023-08-22,23.367,1
20230822_00017,Loxocephalus,18,1,L2,2023-08-22,190.113912,1
20230822_00018,Colpidium,18,2,C4,2023-08-22,313.304736,1
20230822_00019,Colpidium,18,5,C13,2023-08-22,150.48348,1
20230822_00020,Loxocephalus,18,2,L5,2023-08-22,254.980704,1
20230822_00021,Loxocephalus,18,2,L6,2023-08-22,255.16764,1
20230822_00022,Loxocephalus,18,3,L7,2023-08-22,278.53464,1
20230822_00023,Loxocephalus,18,3,L8,2023-08-22,228.248856,1
20230822_00024,Loxocephalus,18,5,L15,2023-08-22,185.253576,1
20230822_00025,Colpidium,18,1,C3,2023-08-22,218.902056,1
20230822_00026,Loxocephalus,18,4,L11,2023-08-22,121.5084,1
20230822_00027,Colpidium,18,3,C9,2023-08-22,381.723312,1
20230822_00028,Tetrahymena,18,3,T9,2023-08-22,102.8148,1
20230822_00029,Loxocephalus,18,5,L14,2023-08-22,241.334376,1
20230822_00030,Loxocephalus,18,3,L9,2023-08-22,178.52388,1
20230822_00031,Tetrahymena,18,1,T1,2023-08-22,140.202,1
20230822_00032,Tetrahymena,18,1,T2,2023-08-22,93.094128,1
20230822_00033,Loxocephalus,18,2,L4,2023-08-22,148.987992,1
20230822_00034,Colpidium,18,3,C8,2023-08-22,127.677288,1
20230822_00035,Tetrahymena,18,2,T5,2023-08-22,134.220048,1
20230822_00036,Colpidium,18,1,C1,2023-08-22,183.384216,1
20230822_00037,Loxocephalus,18,1,L1,2023-08-22,207.49896,1
20230822_00038,Tetrahymena,18,3,T8,2023-08-22,162.821256,1
20230822_00039,Loxocephalus,18,5,L13,2023-08-22,137.958768,1
20230822_00040,Tetrahymena,18,4,T10,2023-08-22,70.661808,1
20230822_00041,Tetrahymena,18,4,T11,2023-08-22,141.323616,1
20230822_00042,Tetrahymena,18,4,T12,2023-08-22,102.440928,1
20230822_00043,Colpidium,18,2,C5,2023-08-22,165.812232,1
20230822_00044,Tetrahymena,18,5,T14,2023-08-22,28.414272,1
20230822_00045,Colpidium,18,4,C12,2023-08-22,82.438776,1
20230822_00046,Tetrahymena,21,5,T28,2023-08-22,46.360128,1
20230822_00047,Loxocephalus,21,3,L23,2023-08-22,190.67472,1
