divergence,treatment,composition,...1,richness,temperature,nutrients
0,Tmp_18_21_Nut0.01,CL,1,2,18-21 °C,0.01 g/L
0,Tmp_18_21_Nut0.01,DS,2,2,18-21 °C,0.01 g/L
0.11146509649930116,Tmp_18_21_Nut0.01,DP,3,2,18-21 °C,0.01 g/L
0,Tmp_18_21_Nut0.01,CLS,4,3,18-21 °C,0.01 g/L
0.46715543693924444,Tmp_18_21_Nut0.01,CLP,5,3,18-21 °C,0.01 g/L
0.5616536723971312,Tmp_18_21_Nut0.01,DPS,6,3,18-21 °C,0.01 g/L
0,Tmp_18_21_Nut0.01,CDLS,7,4,18-21 °C,0.01 g/L
0.46715543693924444,Tmp_18_21_Nut0.01,CLPS,8,4,18-21 °C,0.01 g/L
0.5616536723971312,Tmp_18_21_Nut0.01,CDPS,9,4,18-21 °C,0.01 g/L
0,Tmp_18_21_Nut0.35,CD,10,2,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,DL,11,2,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,LP,12,2,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,CDS,13,3,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,DLS,14,3,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,CLP,15,3,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,CDPS,16,4,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,CDLS,17,4,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.35,CDLP,18,4,18-21 °C,0.35 g/L
0,Tmp_18_21_Nut0.75,LS,19,2,18-21 °C,0.75 g/L
0,Tmp_18_21_Nut0.75,DS,20,2,18-21 °C,0.75 g/L
0,Tmp_18_21_Nut0.75,LP,21,2,18-21 °C,0.75 g/L
0.8289678129559412,Tmp_18_21_Nut0.75,CDP,22,3,18-21 °C,0.75 g/L
0,Tmp_18_21_Nut0.75,DLS,23,3,18-21 °C,0.75 g/L
0.9423786001129779,Tmp_18_21_Nut0.75,CLP,24,3,18-21 °C,0.75 g/L
0.8289678129559412,Tmp_18_21_Nut0.75,CDPS,25,4,18-21 °C,0.75 g/L
0.8289678129559412,Tmp_18_21_Nut0.75,CDLS,26,4,18-21 °C,0.75 g/L
0.9423786001129779,Tmp_18_21_Nut0.75,CLPS,27,4,18-21 °C,0.75 g/L
0,Tmp_22_25_Nut0.01,CP,28,2,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,CS,29,2,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,DS,30,2,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,CDP,31,3,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,DLS,32,3,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,CDL,33,3,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,CDPS,34,4,22-25 °C,0.01 g/L
0,Tmp_22_25_Nut0.01,CLPS,35,4,22-25 °C,0.01 g/L
