day,coefficient_name,coefficient_value,rep_var,target,replicate,temperature,nutrients,composition,theta,sample_ID
1,∂C/∂D,NA,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
3.28,∂C/∂D,0.293852282829095,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
5.56,∂C/∂D,-0.5362509126819793,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
7.84,∂C/∂D,-0.9600422881999564,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
10.12,∂C/∂D,-0.6852155645660397,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
12.4,∂C/∂D,-0.062113079290895754,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
14.68,∂C/∂D,0.0690050103253184,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
16.96,∂C/∂D,0.0631797300048887,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
19.24,∂C/∂D,0.06022856114546661,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
21.52,∂C/∂D,0.030770503620298033,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
23.8,∂C/∂D,0.027868932856464804,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
26.08,∂C/∂D,0.015445865180482734,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
28.36,∂C/∂D,0.009691633738600866,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
30.64,∂C/∂D,0.0016651314568597597,CD_Tmp_18_21_Nut0.35,C,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
