day,coefficient_name,coefficient_value,rep_var,target,replicate,temperature,nutrients,composition,theta,sample_ID
1,∂D/∂C,NA,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
3.28,∂D/∂C,0.8020276320698008,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
5.56,∂D/∂C,-0.21378197564803417,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
7.84,∂D/∂C,-1.3402985487664272,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
10.12,∂D/∂C,-0.10942145314751558,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
12.4,∂D/∂C,6.585352910826846,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
14.68,∂D/∂C,-0.16470937910675573,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
16.96,∂D/∂C,-1.963223297878886,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
19.24,∂D/∂C,-2.440120348840369,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
21.52,∂D/∂C,0.6624026775583417,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
23.8,∂D/∂C,-5.0257472240696375,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
26.08,∂D/∂C,-1.052772523244597,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
28.36,∂D/∂C,-2.3685503088380426,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
30.64,∂D/∂C,-0.6308678837789821,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
32.92,∂D/∂C,5.866924619824593e-4,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
35.2,∂D/∂C,0.16319687345598582,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
37.48,∂D/∂C,0.3997777654716975,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
39.76,∂D/∂C,0.2903960683595069,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
42.04,∂D/∂C,-0.1415971477715304,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
44.32,∂D/∂C,1.284911174084882,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
46.6,∂D/∂C,1.5409284066170144,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
48.88,∂D/∂C,1.0031421756497416,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
51.16,∂D/∂C,0.8345229251610347,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
53.44,∂D/∂C,0.9226281566619556,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
55.72,∂D/∂C,0.4209405505880931,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
58,∂D/∂C,-1.1096212071899696,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
0,∂D/∂C,-1.9216104137322487,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_1
1,∂D/∂C,NA,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
3.28,∂D/∂C,0.031303582070073464,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
5.56,∂D/∂C,-0.6128986491477053,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
7.84,∂D/∂C,1.0156348066183267,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
10.12,∂D/∂C,0.8484279839073464,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
12.4,∂D/∂C,-1.5907152856920772,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
14.68,∂D/∂C,-3.5274959104749035,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
16.96,∂D/∂C,-2.842863271323216,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
19.24,∂D/∂C,7.6464941417749275,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
21.52,∂D/∂C,10.727904874551943,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
23.8,∂D/∂C,-0.7387357766693893,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
26.08,∂D/∂C,-1.937148763895085,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
28.36,∂D/∂C,-0.12265729131377466,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
30.64,∂D/∂C,-0.7539982611179255,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
32.92,∂D/∂C,4.1193625749041445,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
35.2,∂D/∂C,0.2523461871094004,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
37.48,∂D/∂C,0.874125779532271,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
39.76,∂D/∂C,1.4870356785529055,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
42.04,∂D/∂C,-0.6264059016873618,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
44.32,∂D/∂C,0.13721671804333357,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
46.6,∂D/∂C,0.7347126786351275,CD_Tmp_18_21_Nut0.35,D,2,18-21,0.35,CD,7,CD_Tmp_18_21_Nut0.35_2
