day,coefficient_name,coefficient_value,rep_var,target,replicate,temperature,nutrients,composition,theta,sample_ID
1,∂D/∂C,NA,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
3.28,∂D/∂C,0.1050531595566795,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
5.56,∂D/∂C,-0.21535033276233861,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
7.84,∂D/∂C,-0.11919720673268995,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
10.12,∂D/∂C,-0.04003640635311097,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
12.4,∂D/∂C,-0.1675938606313102,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
14.68,∂D/∂C,-0.13075969359835812,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
16.96,∂D/∂C,-0.151659902474357,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
19.24,∂D/∂C,-0.20639395710111216,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
21.52,∂D/∂C,-0.07026145567344613,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
23.8,∂D/∂C,-0.40599905212210197,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
26.08,∂D/∂C,0.03053764663208428,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
28.36,∂D/∂C,-0.2290635284940427,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
30.64,∂D/∂C,0.10085840881273479,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
32.92,∂D/∂C,-0.032945477380895226,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
35.2,∂D/∂C,0.21462321956204172,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
37.48,∂D/∂C,0.07060909361251988,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
39.76,∂D/∂C,0.28675394031605694,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
42.04,∂D/∂C,0.33039440347484433,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
44.32,∂D/∂C,0.20131542802043728,CD_Tmp_18_21_Nut0.35,D,1,18-21,0.35,CD,var,CD_Tmp_18_21_Nut0.35_1
